Region,Country,ItemType,SalesChannel,OrderID,UnitsSold,UnitPrice,UnitCost
Central America and the Caribbean,Antigua and Barbuda,Baby Food,Online,957081544,552,255,159
Central America and the Caribbean,Panama,Snacks,Offline,301644504,2167,152,97
Europe,Czech Republic,Beverages,Offline,478051030,4778,47,31
Asia,North Korea,Cereal,Offline,892599952,9016,205,117
Asia,Sri Lanka,Snacks,Offline,571902596,7542,152,97
Middle East and North Africa,Morocco,Personal Care,Offline,412882792,48,81,56
Australia and Oceania,Federated States of Micronesia,Clothes,Offline,932776868,8258,109,35
Europe,Bosnia and Herzegovina,Clothes,Online,919133651,927,109,35
Middle East and North Africa,Afghanistan,Clothes,Offline,579814469,8841,109,35
Sub-Saharan Africa,Ethiopia,Baby Food,Online,192993152,9817,255,159
Middle East and North Africa,Turkey,Office Supplies,Offline,557156026,3704,651,524
Middle East and North Africa,Oman,Cosmetics,Online,741101920,7382,437,263
Asia,Malaysia,Cereal,Offline,333942162,9762,205,117
Central America and the Caribbean,Saint Lucia,Cosmetics,Offline,795100581,6786,437,263
Central America and the Caribbean,Saint Vincent and the Grenadines,Baby Food,Online,504313504,6428,255,159
Middle East and North Africa,Lebanon,Meat,Offline,611629760,3693,421,364
Europe,Austria,Cereal,Offline,987410676,5616,205,117
Europe,Bulgaria,Office Supplies,Online,672330081,6266,651,524
North America,Mexico,Beverages,Online,127374303,1742,47,31
Central America and the Caribbean,Trinidad and Tobago,Baby Food,Offline,783842170,5172,255,159
Middle East and North Africa,Libya,Beverages,Offline,993345010,1718,47,31
Middle East and North Africa,Algeria,Baby Food,Offline,977806651,3572,255,159
Europe,Estonia,Fruits,Online,579463422,4958,9,6
Australia and Oceania,Tuvalu,Beverages,Offline,610864150,7132,47,31
Middle East and North Africa,Saudi Arabia,Snacks,Offline,604870164,3378,152,97
Central America and the Caribbean,Cuba,Cereal,Online,164655292,4015,205,117
Europe,Montenegro,Fruits,Offline,313705861,1390,9,6
Central America and the Caribbean,Guatemala,Office Supplies,Online,345820701,4885,651,524
Sub-Saharan Africa,Guinea,Baby Food,Online,975111138,5910,255,159
Australia and Oceania,Vanuatu,Snacks,Online,286001002,2907,152,97
