id,pricesold,yearsold,zipcode,mileage,make,model,year,engine,body_type,num_cylinders,drive_type
119660,8750,2020,33449,55000,Jaguar,XJS,1995,4.0L In-Line 6 Cylinder,Convertible,6,RWD
80773,11600,2019,07852,97200,Ford,Mustang,1968,289 cu. in. V8,Coupe,8,RWD
64287,44000,2019,07728,40703,Porsche,911,2002,3.6L,Coupe,6,AWD
158271,20000,2020,333**,51674,Jeep,Wrangler,2015,3.6L Flexible V6,SUV,6,4WD
72418,14100,2019,07014,109500,Jeep,Wrangler,2012,3.6L,SUV,6,4WD
144540,3330,2020,856**,47692,Buick,LeSabre,2004,3.8L Gas V6,Sedan,6,FWD
59728,18550,2019,60448,6714,Chevrolet,Camaro,2002,5.7 liter v8,Coupe,8,RWD
74812,4750,2019,76705,151361,Ford,F-250,1978,460,Standard Cab Pickup,8,RWD
78263,3050,2020,07840,95600,Nissan,Maxima,2004,3.5L,Sedan,6,FWD
78272,4050,2020,07840,100427,Nissan,Altima,2009,2.5L DOHC,Sedan,4,FWD
77898,3500,2019,07840,144868,Honda,CR-V,2006,2.4L VTECH,SUV,4,FWD
8978,4600,2019,60542,180000,Mercedes-Benz,S-Class,2003,m1135 5.4 Liter Supercharged,Sedan,8,RWD
76801,24600,2019,59101,50,Chevrolet,Nova,1968,540 BBC,Coupe,8,RWD
45861,45400,2019,59101,2357,Ford,Mustang,2016,5.0L Supercharged,Coupe,8,RWD
55855,49810,2019,13039,2640,Dodge,Charger,2016,6.2L Supercharged,Sedan,8,RWD
19688,3810,2019,37642,80000,Chevrolet,Bel Air/150/210,1957,v8,Wagon,8,RWD
102288,5600,2019,60491,143250,Cadillac,CTS,2010,3.6,Wagon,6,AWD
126032,5100,2020,322**,99200,Jaguar,XJR,2004,4.2 V8,Sedan,8,RWD
67537,760,2019,32533,144002,Ford,Mustang,1987,5.0 V8,Coupe,8,RWD
92293,13410,2019,75904,51793,Ford,Mustang,1992,5.0L V8,Coupe,8,RWD
111571,2150,2020,337**,216932,Mercedes-Benz,300-Series,1991,Diesel,Sedan,5,RWD
131515,9600,2020,402**,18100,Cadillac,Fleetwood,1984,4.1L V8 OHV 16V,Sedan,8,RWD
47786,11500,2019,80020,155861,Plymouth,Belvedere,1966,v8 383,Convertible,8,RWD
150216,5000,2020,800**,170285,BMW,3-Series,1989,2.5L Gas I6,Convertible,6,RWD
19071,15000,2019,90260,6756,Ford,Model A,1931,4cyl,Convertible,4,RWD
