region,edad,estado_civil,ingreso_mensual,fact_exp
Región de Antofagasta,47,Casado(a),335000,51
Región de Aysén del Gral. Carlos Ibáñez del Campo,29,Soltero(a),650000,20
Región de Magallanes y de la Antártica Chilena,35,Separado(a),1200000,41
Región del Biobío,51,Casado(a),450000,84
Región de Los Lagos,66,Conviviente o pareja sin acuerdo de unión civil,350000,40
Región Metropolitana de Santiago,37,Casado(a),460000,238
Región de Los Ríos,34,Casado(a),380000,36
Región del Maule,40,Divorciado (a),450000,82
Región de Magallanes y de la Antártica Chilena,35,Conviviente o pareja sin acuerdo de unión civil,320000,25
Región del Maule,36,Soltero(a),350000,61
Región Metropolitana de Santiago,38,Soltero(a),1300000,137
Región de Coquimbo,63,Casado(a),350000,147
Región de Arica y Parinacota,39,Soltero(a),270000,50
Región de Valparaíso,50,Separado(a),150000,78
Región Metropolitana de Santiago,30,Casado(a),730000,257
Región Metropolitana de Santiago,26,Soltero(a),1320000,180
Región Metropolitana de Santiago,27,Soltero(a),660000,94
Región de Aysén del Gral. Carlos Ibáñez del Campo,49,Soltero(a),350000,94
Región Metropolitana de Santiago,49,Casado(a),1060000,137
Región del Biobío,42,Soltero(a),1056000,110
Región de Ñuble,26,Soltero(a),1500000,13
Región de Los Lagos,30,Soltero(a),230000,255
Región de Los Lagos,45,Casado(a),920000,69
Región de Coquimbo,48,Soltero(a),350000,93
Región de Magallanes y de la Antártica Chilena,34,Conviviente o pareja sin acuerdo de unión civil,1300000,19
Región de Atacama,44,Soltero(a),2800000,25
Región Metropolitana de Santiago,40,Conviviente o pareja sin acuerdo de unión civil,330000,249
Región del Biobío,38,Casado(a),320000,83
Región del Biobío,49,Separado(a),1050000,213
Región de Valparaíso,37,Casado(a),2300000,69
Región Metropolitana de Santiago,20,Soltero(a),450000,199
Región Metropolitana de Santiago,33,Soltero(a),2500000,106
Región Metropolitana de Santiago,48,Conviviente o pareja sin acuerdo de unión civil,250000,235
Región de Los Lagos,19,Conviviente o pareja sin acuerdo de unión civil,190000,46
Región Metropolitana de Santiago,62,Casado(a),320000,281
Región Metropolitana de Santiago,38,Soltero(a),326000,281
Región de Los Ríos,52,Casado(a),320000,61
Región del Libertador Gral. Bernardo O'Higgins,36,Conviviente o pareja sin acuerdo de unión civil,1800000,62
Región de Atacama,30,Conviviente o pareja sin acuerdo de unión civil,380000,52
