ID,name,category,main_category,currency,goal,pledged,state,backers,country,usd_pledged_real,usd_goal_real
156592534,IGBY GOES TO NEW YORK CITY,Children's Books,Publishing,USD,18000,227,failed,9,US,227,18000
517902473,PARALLAX SOUNDS documentary,Documentary,Film & Video,USD,10000,10345,successful,66,US,10345,10000
1601186027,Customized Digital Fabric Printing on Demand,Graphic Design,Design,USD,20000,2001,failed,2,US,2001,20000
1564308432,The Consequence of Theatre: The Juliet Film,Experimental,Film & Video,USD,10000,11710,successful,36,US,11710,10000
2100920769,"Rituals, the debut album from Nice Bison",Indie Rock,Music,USD,5000,5622.01,successful,127,US,5622.01,5000
1608704592,Polina's Designs,Design,Design,USD,8000,25,failed,1,US,25,8000
1651026054,The Songwriting Studio,Music,Music,USD,12000,625,failed,7,US,625,12000
1051656321,Get Busy - a comedic web series created for the web,Webseries,Film & Video,USD,5000,5177.69,successful,87,US,5177.69,5000
1844831677,"""RISE UP"" - Tom's First Full Length CD Recording Project",Music,Music,USD,7000,742,failed,12,US,742,7000
751821660,Caz's Kitchen Open Air Cafe Application,Food,Food,GBP,1885,1986,successful,121,GB,3081.65,2924.93
620926586,Organic Herb Farm,Farms,Food,USD,25000,11,failed,3,US,11,25000
553037248,"""Mazel y Shlimazel. La leche de la leona""",Plays,Theater,MXN,125000,4800,failed,9,MX,270.56,7045.83
2051130141,Dance in the Parks!,Dance,Dance,USD,5000,5187,successful,63,US,5187,5000
1137873695,Hugo the Happy Starfish: THE LAST BULLY,Children's Books,Publishing,USD,1000,1180,successful,18,US,1180,1000
1332270017,Leather Duchess debut album,Rock,Music,USD,1000,1001.66,successful,21,US,1001.66,1000
1675777069,MAMA’S JUKE BOOK – Lisa Mills’ New Album & Musical Tribute,Music,Music,USD,22000,22621,successful,172,US,22621,22000
475963082,Arcadia,Shorts,Film & Video,USD,10000,10153,successful,56,US,10153,10000
1110213374,"Trims, Frills and Furbelows",Fashion,Fashion,AUD,5000,14041,successful,172,AU,10069.56,3585.77
1816100098,Musician Josh Tiemann's debut album,Country & Folk,Music,USD,1200,90,failed,3,US,90,1200
438012349,We Have A Ghost - LAST DAY,Electronic Music,Music,USD,1000,1781,successful,54,US,1781,1000
1691116719,Mystical Mountain Magic - a fantasy novel (Canceled),Publishing,Publishing,USD,17900,106,canceled,3,US,106,17900
227780451,Framing the Wings of Imagination,Photography,Photography,USD,1000,81,failed,4,US,81,1000
1617610369,ALECTRICITY!  The Debut of Alec Sweazy,Classical Music,Music,USD,8200,8501,successful,112,US,8501,8200
1652595676,A Mobile Creamery for Piemonte Farm,Food,Food,USD,16000,16011,successful,56,US,16011,16000
1743281764,Death of a Butterfly - Take Two,Narrative Film,Film & Video,USD,800,346,failed,8,US,346,800
339097189,The Maxwell Edison - First Run (Canceled),Product Design,Design,USD,3300,320,canceled,7,US,320,3300
1653993657,Final Quest Remake,Video Games,Games,GBP,100,33,failed,5,GB,53.02,160.68
877967191,The Greatest Generation -A Visual Tribute to WW II,Painting,Art,USD,15000,180,failed,5,US,180,15000
1924447008,"Sincerely, Min",Theater,Theater,USD,20000,23297,successful,229,US,23297,20000
1670108538,Tennis Commander: A watch over your game,Apps,Technology,USD,9999,10203,successful,100,US,10203,9999
770940012,John Wilds - Live Album Kickstarter,Faith,Music,USD,25000,5805,failed,75,US,5805,25000
216546616,Paul Ven Eastender Unisex Wooden Watch,Accessories,Fashion,GBP,1750,40,failed,4,GB,61.77,2702.54
312930716,Just a Nation,Nonfiction,Publishing,GBP,10000,25,failed,1,GB,38.12,15246.69
1427936875,Protection Stickers: The Owl,Digital Art,Art,USD,1000,100,failed,1,US,100,1000
41236316,Spirit Goodies. The Spiritual Store With Everything.,Crafts,Crafts,GBP,800,165,failed,3,GB,217.4,1054.05
1653837539,Islam On Demand Android App,Technology,Technology,USD,6500,465,failed,10,US,465,6500
446266918,Turn your Life into a Work of Art (Canceled),Art Books,Publishing,NZD,4800,230,canceled,3,NZ,196.26,4095.91
1071710731,A Meal With Dad: A Short Film (Post-Production),Shorts,Film & Video,USD,2500,3115,successful,53,US,3115,2500
157083430,Cage Match: The World's First Nicolas Cage Dating Website,Web,Technology,GBP,20000,3193,failed,30,GB,4563.51,28584.5
1343286452,GameStow - Save your PC games on the cloud!,Technology,Technology,USD,2000,2374,successful,67,US,2374,2000
676733164,Glimpse...,Shorts,Film & Video,USD,1500,203,failed,4,US,203,1500
260201409,"Ethiopian UK Fusions of Sound and Culture, Invisible System",World Music,Music,GBP,150,12,failed,1,GB,19.81,247.67
351843593,Cherrypic.email - Disposable email addresses,Technology,Technology,GBP,10000,117,failed,10,GB,168.52,14403.62
1699593201,Photoshop Shortcut Flash Cards (Canceled),Graphic Design,Design,USD,5000,1011,canceled,38,US,1011,5000
1827672172,"Jeff Snake Greenberg - The ""Other"" Trio",Music,Music,USD,1200,371,failed,15,US,371,1200
1767726253,Thunder Pies!,Restaurants,Food,USD,65000,30,canceled,2,US,30,65000
304814375,Carbon mini bikes / race / MTB / FAT ~ Carbon tow placement,Wearables,Technology,EUR,70,101,successful,2,FR,106.98,74.14
877445417,The Gateway to 21 Acres Eagle Scout project,Woodworking,Crafts,USD,800,900,successful,12,US,900,800
1644797379,Autumn Movie,Shorts,Film & Video,USD,4500,5254,successful,58,US,5254,4500
1072021983,The Inner Party's New Shirts and More!,Music,Music,USD,600,645,successful,13,US,645,600
1831979344,WHAT DID YOU EXPECT? The Archers of Loaf concert film Part 2,Documentary,Film & Video,USD,800,905,successful,11,US,905,800
1222327643,One Handed Keyboard,Apps,Technology,USD,30000,560,failed,7,US,560,30000
456941117,"FER  |  One Accessory, Many Ways! (Canceled)",Accessories,Fashion,USD,25000,1255,canceled,4,US,1255,25000
248522281,Previous Campaign (Canceled),Festivals,Theater,USD,10250,270,canceled,7,US,270,10250
1074193624,For a Great Kaws,Indie Rock,Music,USD,2500,450,failed,19,US,450,2500
116876313,Making It Webseries (Canceled),Webseries,Film & Video,USD,5000,76,canceled,5,US,76,5000
2112362048,Becca's Album - Searching,Jazz,Music,GBP,700,900,successful,40,GB,1202.66,935.4
941186362,Giant Leaps in Space Poster Series,Space Exploration,Technology,USD,8000,17914,successful,304,US,17914,8000
332701005,Publishing the Chronicles of Celadmore in UK,Fiction,Publishing,GBP,30000,5,failed,1,GB,7.79,46734.8
93264512,Holobunnies,Video Games,Games,CAD,15000,7000,failed,224,CA,6141.97,13161.36
2084000023,"Willie Nile Record Release: ""The Innocent Ones""",Music,Music,USD,15000,19376,successful,168,US,19376,15000
1902860774,Hot Season - Twisted Bangkok Crime Fiction,Fiction,Publishing,USD,2000,330,failed,7,US,330,2000
700566045,Why You Feel The Way You Do,Nonfiction,Publishing,USD,5000,25,failed,1,US,25,5000
1747740042,KINTA - iPhone case produced by Ninja (for iPhone 7),Gadgets,Technology,USD,3000,10198,successful,15,US,10198,3000
596081402,Extreme Color Printing,Mixed Media,Art,USD,3500,4000,successful,30,US,4000,3500
355847077,Paris Salon: Ambrotype Portraits of Dancers & Artists,Photography,Photography,USD,28000,1130,failed,14,US,1130,28000
1414187455,The Randi Rhodes Radio Show - Streaming Live Across America,Audio,Journalism,USD,129000,152063.93,successful,1951,US,152063.93,129000
1121676187,Yoga Resource eBook with Darren Rhodes,Publishing,Publishing,USD,33000,37834.44,successful,460,US,37834.44,33000
260597159,Eco notebooks. A totally rubbish idea.,Design,Design,GBP,20000,463,failed,13,GB,741.7,32038.96
1035786701,Mercenary: The Novel,Fiction,Publishing,USD,6500,21,failed,3,US,21,6500
47764398,Magnetic KeyClip,Product Design,Design,USD,15000,1038,failed,24,US,1038,15000
121304417,ETA: Enter The Arena,Tabletop Games,Games,USD,7500,4428,failed,51,US,4428,7500
1918832406,Etxebast Art Studio - A Painting Project,Painting,Art,EUR,5500,20,canceled,1,FR,21.26,5845.96
2128162755,Kenema,Photobooks,Photography,GBP,19000,4190,failed,86,GB,5517.01,25017.45
955489641,VS or Versus T-Shirts,Fashion,Fashion,USD,1000,1451,successful,53,US,1451,1000
925025600,Sketches Of Influence / Ivory Romance,Jazz,Music,USD,3500,5160,successful,65,US,5160,3500
1922231433,Dragon Draft,Tabletop Games,Games,USD,4000,4723,successful,168,US,4723,4000
2101184379,Helios,Hardware,Technology,USD,200000,1,failed,1,US,1,200000
839276835,BEATENTRACK STUDIOS: Austin's First Mobile Recording Studio,Music,Music,USD,25000,6042,failed,76,US,6042,25000
376198553,Instably,Apps,Technology,USD,85000,100,failed,1,US,100,85000
1124026285,Roll20 -- Virtual tabletop gaming that tells a story,Games,Games,USD,5000,39651.8,successful,1580,US,39651.8,5000
2010742598,The Follower,Film & Video,Film & Video,USD,10000,120,failed,3,US,120,10000
314416251,Teacher / Child Friendly Font (Typeface) for Educational Use,Graphic Design,Design,GBP,1500,702,failed,14,GB,1173.58,2507.65
1883935637,Motix™ Control at your Fingertips (Canceled),Hardware,Technology,USD,50000,12928,canceled,138,US,12928,50000
575636994,So Darn Saucy!,Food,Food,USD,20000,40,failed,1,US,40,20000
862297680,Porta Rista™ by FUSE - Personalise Your Own Coffee Machine,Product Design,Design,EUR,65000,20141,canceled,132,ES,22984.92,74178.05
1345761514,Adam Michael Allison - The Lost Harbor,Indie Rock,Music,USD,10000,2880,failed,20,US,2880,10000
360040597,Heavy Duty Bag,Crafts,Crafts,USD,15000,325,failed,5,US,325,15000
1549079486,Rattled: a suspense novel,Fiction,Publishing,USD,600,121,failed,5,US,121,600
233631863,SH SokStraps,Design,Design,CAD,15000,222,failed,5,CA,166.75,11267.18
2114910599,Italian artisan products: let's stop the time!,Crafts,Crafts,EUR,3000,1477,failed,12,IT,1766.94,3588.9
1726602747,TRYOUTS ? post production funds,Shorts,Film & Video,USD,10000,10107,successful,179,US,10107,10000
1367274944,Type Publish. An Easier Way to Publish to the Web,Software,Technology,GBP,10000,969,failed,18,GB,1533.86,15829.3
508365838,Behold Flat Tire Bike Cage Mounts Under Your Bottle Cage,Product Design,Design,USD,2500,5280,successful,115,US,5280,2500
757030795,"Rough Cut Cartel Gems, Jewelry and ""Dog-stones""",Mixed Media,Art,USD,5000,223,failed,7,US,223,5000
447703204,The Artwork of Colin Barclay - THANK YOU FOR LOOKING !!!,Digital Art,Art,USD,12000,50,failed,1,US,50,12000
885295978,Judgment (Standing on a Plain)  John Gregory pen name Ariel,Nonfiction,Publishing,USD,6560,54,failed,1,US,54,6560
585845931,"Help Fund Our  Independent Horror Film ""1808""",Horror,Film & Video,USD,1000,1279,successful,37,US,1279,1000
161466211,Steel,Documentary,Film & Video,USD,94000,1623,failed,30,US,1623,94000
1300342534,BLOOM: A Rush of Rainbows Through Your Ear Holes,Music,Music,USD,8000,18013.27,successful,218,US,18013.27,8000
1615357420,Phuck You Ink,Publishing,Publishing,USD,1000,10,failed,2,US,10,1000
1815225456,INVASION! The Hunt for America's Most Invasive Species,Documentary,Film & Video,USD,2000,10,canceled,1,US,10,2000
1044077716,BROOKLYN THE EP,Hip-Hop,Music,USD,15000,1,failed,1,US,1,15000
1117829525,The Azoic - Corruption: new music video and release,Electronic Music,Music,USD,2000,3839.37,successful,103,US,3839.37,2000
1517997346,"Publishing ""Joey and His JEALOUS Pants""!",Publishing,Publishing,USD,4000,4040,successful,39,US,4040,4000
1602183055,Inaugural Production of Innate Theatre Company,Theater,Theater,USD,2000,2541,successful,43,US,2541,2000
1411308201,StrobeHouse presents Valborg 2015,Electronic Music,Music,SEK,10000,11176,successful,141,SE,1265.71,1132.53
1902642134,Ms. Wood - Spring/Summer 2012 Collection Launch,Fashion,Fashion,USD,6000,6100,successful,73,US,6100,6000
1604293164,Ardried's Dance Movement First Annual Dance Off,Performances,Dance,USD,5000,2,failed,2,US,2,5000
1110626056,The EP,Hip-Hop,Music,USD,2000,1120,failed,3,US,1120,2000
1705809340,Cirque H.O.U.,Theater,Theater,USD,10000,240,failed,5,US,240,10000
1467602347,Shankar Tucker's New Album and Video Series,World Music,Music,USD,20000,34055,successful,804,US,34055,20000
1029058987,Taco Padilla,Restaurants,Food,USD,30000,1,failed,1,US,1,30000
1650209552,Hope Revealed,Publishing,Publishing,USD,4500,5000,successful,60,US,5000,4500
1174616404,Lotus and Lamb -  A Hindu/Christian Conversation Toolkit,Nonfiction,Publishing,USD,5000,150,failed,2,US,150,5000
291896548,Weebee blocks,Crafts,Crafts,USD,1000,1231,successful,19,US,1231,1000
1492979063,Dreamers,Drama,Film & Video,USD,2500,1308,failed,21,US,1308,2500
1886546430,Arduino USBtinyISP Bootloader Shield (ATMEGA328P-PU),DIY Electronics,Technology,GBP,450,754,successful,28,GB,1184.49,706.92
1628352606,Today for Tomorrow Notebook- Know your Today for Tomorrow,Product Design,Design,USD,8000,761,failed,30,US,761,8000
1990221498,Treadmill Trackstar's 25th Anniversary: Last Show & EP,Rock,Music,USD,2000,2355,successful,37,US,2355,2000
1528599332,CELEBRATE WORLD CUP 2014!,Illustration,Art,CAD,5000,149,failed,1,CA,136.4,4577.08
1175931552,Deep Dream Generator,Software,Technology,EUR,7500,10,failed,2,NL,11.16,8369.98
621711263,Monsters & More: An 18+ Sketchbook by Coey Kuhn,Art,Art,USD,1000,9830,successful,454,US,9830,1000
1570091188,Legendary Creatures,Tabletop Games,Games,USD,20000,39748,successful,759,US,39748,20000
1739068153,Mouthful Podcast,Audio,Journalism,USD,2500,3301,successful,75,US,3301,2500
55355293,A Photo-Musical Bike Journey Through Gyspy (Roma) Romania,Photography,Photography,USD,250,260,successful,9,US,260,250
1506627641,"Squeezed Juice, Inc: Fresh-squeezed lemonade",Food,Food,USD,450,481,successful,20,US,481,450
340030914,Kuboo - A totally awesome safe virtual world for young kids.,Video Games,Games,USD,100000,652,canceled,22,US,652,100000
1604496605,Nothing But The Truth,Documentary,Film & Video,USD,800,10,failed,1,US,10,800
2139836161,Assist Bettina to make awesome photos with a new Canon 5D!,Photography,Photography,USD,3000,300,failed,2,US,300,3000
1004671073,Poetry Will Never Be The Same,Poetry,Publishing,USD,3000,987,failed,35,US,987,3000
