id_pedido,id_cliente,Tienda,TipoLibro,und_pedidas,und_despachadas,ano_despacho,mes_despacho,lead_time,rating
1,CL0033,Santiago,Novelas,47,47,2024,2,11,68
2,CL0033,Santiago,Novelas,46,46,2023,8,7,50
3,CL0033,Santiago,Novelas,83,83,2023,12,8,48.6
4,CL0100,Webpage,Novelas,1,1,2023,6,6,96
5,CL0084,Regiones,Academicos,81,78,2023,2,2,52.4
6,CL0033,Santiago,Novelas,13,13,2024,2,4,66.2
7,CL0100,Webpage,Academicos,3,3,2023,11,2,68.4
8,CL0100,Webpage,CienciaFiccion,1,1,2023,5,1,61.7
9,CL0100,Webpage,Novelas,1,1,2023,1,1,70.8
10,CL0100,Webpage,CienciaFiccion,3,3,2023,6,5,62.9
11,CL0100,Webpage,Academicos,1,1,2023,5,3,57.9
12,CL0100,Webpage,Academicos,1,1,2023,6,4,59.1
13,CL0100,Webpage,CienciaFiccion,5,5,2023,10,2,63.9
14,CL0060,Santiago,Novelas,31,31,2023,12,6,67.4
15,CL0033,Santiago,Novelas,12,12,2024,3,6,83
16,CL0100,Webpage,CienciaFiccion,7,7,2023,6,5,90.4
17,CL0100,Webpage,Novelas,1,1,2023,11,4,73
18,CL0003,Regiones,Academicos,35,35,2023,6,4,51.6
19,CL0124,Regiones,CienciaFiccion,72,72,2023,11,8,63
20,CL0001,Regiones,Academicos,46,46,2023,8,9,50.3
21,CL0099,Regiones,Academicos,31,31,2023,2,1,54.3
22,CL0100,Webpage,Novelas,2,2,2023,6,6,66
23,CL0008,Regiones,CienciaFiccion,73,73,2023,11,6,61.6
24,CL0001,Regiones,Academicos,11,11,2023,5,3,88.3
25,CL0033,Santiago,Novelas,42,40,2023,10,3,59.6
26,CL0100,Webpage,CienciaFiccion,1,1,2024,2,1,59
27,CL0100,Webpage,CienciaFiccion,2,2,2023,10,1,45.9
28,CL0008,Regiones,Novelas,37,34,2023,8,2,62.9
29,CL0033,Santiago,Novelas,82,82,2023,10,4,54.6
30,CL0100,Webpage,Novelas,1,1,2023,5,3,70.4
31,CL0100,Webpage,Novelas,1,1,2023,3,1,61.9
32,CL0100,Webpage,Novelas,2,2,2023,11,0,81
33,CL0100,Webpage,Academicos,4,4,2023,6,6,79.9
34,CL0005,Regiones,Novelas,27,27,2023,8,6,67.8
35,CL0084,Regiones,Academicos,16,16,2023,10,7,62
36,CL0092,Regiones,CienciaFiccion,91,91,2023,4,3,63.3
37,CL0100,Webpage,CienciaFiccion,4,4,2023,6,5,59.1
