serial_number,list_year,date_recorded,town,address,assessed_value,sale_amount,residential_type,non_use_code,assessor_remarks
201312,2020,08/26/2021,Griswold,17-19 SCHOOL RD,108430,150000,Two Family,07 - Change in Property,DUPLEX
200052,2020,02/04/2021,Goshen,36 SANDY BEACH ROAD,211730,290000,Single Family,07 - Change in Property,current structure no value/ must be removed - PER MLS
200594,2020,02/16/2021,Danbury,8 HICKORY ST,121600,146216,Single Family,25 - Other,I11192
200562,2020,02/03/2021,Danbury,19  MILL RD,263600,415000,Single Family,25 - Other,AFFORDABLE HOUSING / B15001-20-19
200968,2020,05/24/2021,Danbury,4A FLIRTATION DR,205700,515000,Single Family,07 - Change in Property,B17008
200260,2020,11/23/2020,Danbury,32 COALPIT HILL RD #4,84900,181778,Condo,25 - Other,J16087-4
201338,2020,09/16/2021,Griswold,46 MYRTLE RD,214270,600000,Single Family,07 - Change in Property,WATER FRONTAGE
200148,2020,01/05/2021,Avon,23 CHEPACHET ROAD,165260,430000,Condo,07 - Change in Property,Includes 120&124 Pequot Road
200000411,2020,09/10/2021,Brookfield,11 BRISTOL PATH,3770,180000,Condo,25 - Other,GARAGE SOLD W/ CONDO
200209,2020,05/03/2021,Colchester,28 PHOENIX RD,19300,10000,Single Family,25 - Other,MOBILE HOME
20038,2020,02/03/2021,Barkhamsted,476 E HARTLAND RD,141690,285000,Single Family,07 - Change in Property,"1974 SPLIT LEVEL, 1246 SFLA, 1.77 AC"
200262,2020,11/23/2020,Danbury,32 COALPIT HILL RD #6,84900,181778,Condo,25 - Other,J16087-6
200000410,2020,09/10/2021,Brookfield,11 BRISTOL PATH,132150,180000,Condo,25 - Other,SOLD W/ GARAGE
200359,2020,12/14/2020,Danbury,1 E HAYESTOWN RD #155,167700,190000,Condo,25 - Other,I10051-155
200851,2020,04/22/2021,Danbury,54 DRIFTWAY RD,203400,180000,Single Family,25 - Other,RATIO TOO HIGH / D13061
200403,2020,07/02/2021,East Lyme,249 OLD BLACK PT RD,2083410,6568750,Single Family,07 - Change in Property,WATERFRONT
200950,2020,05/18/2021,Danbury,49 BRENTWOOD CI,18200,541361,Condo,07 - Change in Property,B16001-72
20090,2020,01/26/2021,Burlington,12 ROCK ROAD,225190,182000,Single Family,25 - Other,SOLD VERY LOW - SEND SALES VERIF
200263,2020,11/23/2020,Danbury,32 COALPIT HILL RD #8,82800,181778,Condo,25 - Other,J16087-8
200176,2020,07/15/2021,Easton,2 LILAC LANE,326470,639000,Single Family,17 - Two Towns,AKA 4581 MADISON AVE TRUMBULL
200267,2020,11/23/2020,Danbury,32 COALPIT HILL RD #12,83400,181778,Condo,25 - Other,J16087-12
200525,2020,01/25/2021,Danbury,19 RIDGECREST RD,326400,173000,Single Family,25 - Other,F08026
200776,2020,04/05/2021,Danbury,6 PLEASANT DR,146700,360000,Single Family,07 - Change in Property,I07205
200254,2020,11/23/2020,Danbury,9 KINGSWOOD RD,174000,392000,Single Family,07 - Change in Property,D05018
20079,2020,07/19/2021,Barkhamsted,82 TAYLOR RD,205870,415000,Single Family,28 - Use Assessment,"1977 Colonial, 1104 SFLA, + Stable, 6.28 AC, 3.1 AC Pasture"
20098,2020,09/17/2021,Ashford,5 MAPLE DR,100800,245000,Single Family,22 - Money and Personal Property,"Waterfront Lake Chaffee, 1 BR cottage blt 1959"
20049,2020,04/19/2021,Barkhamsted,72 WARNER RD,156450,350000,Single Family,07 - Change in Property,"1979 Ranch - Log Home, 1296 SFLA, 4.09 AC"
200120,2020,12/11/2020,East Lyme,42  S LEE RD,187460,585000,Single Family,07 - Change in Property,"2 PARCELS 04.7/1=10,430  4.111/16=177030 TOTAL $187460"
201130,2020,06/28/2021,Danbury,12 SUNSET DR,678300,2400000,Single Family,22 - Money and Personal Property,LAKEFRONT / I05007
201572,2020,09/23/2021,Danbury,26 CROSS ST,127700,370000,Single Family,25 - Other,RATIO TOO LOW / K13085
201082,2020,06/16/2021,Danbury,59 BRENTWOOD CI,18200,550603,Condo,07 - Change in Property,B16001-67
20100,2020,08/16/2021,Lisbon,12 ICE HOUSE RD,126380,320000,Single Family,07 - Change in Property,G0071000
200704,2020,08/20/2021,Groton,18 B ST,20860,65000,Single Family,07 - Change in Property,MOBILE HOME
