ID_venta,Fecha,ID_tienda,ID_producto,Unidades,Nombre_prod,Categoria_prod,Costo_prod,Precio_prod,Nombre_tienda,Ciudad_tienda,Ubicacion_tienda,Apertura_tienda
283341,2017-09-18T00:00:00Z,45,18,1,Lego Bricks,Toys,34.99,39.99,Maven Toys Ciudad de Mexico 4,Cuidad de Mexico,Commercial,2015-06-21T00:00:00Z
328292,2017-10-28T00:00:00Z,32,18,1,Lego Bricks,Toys,34.99,39.99,Maven Toys Hermosillo 1,Hermosillo,Residential,2012-08-31T00:00:00Z
50717,2017-02-21T00:00:00Z,13,18,1,Lego Bricks,Toys,34.99,39.99,Maven Toys Mexicali 2,Mexicali,Downtown,2006-08-30T00:00:00Z
816096,2018-09-22T00:00:00Z,44,18,1,Lego Bricks,Toys,34.99,39.99,Maven Toys Puebla 3,Puebla,Residential,2014-12-27T00:00:00Z
300109,2017-10-03T00:00:00Z,5,18,3,Lego Bricks,Toys,34.99,39.99,Maven Toys La Paz 1,La Paz,Downtown,2001-05-31T00:00:00Z
509073,2018-03-04T00:00:00Z,41,18,1,Lego Bricks,Toys,34.99,39.99,Maven Toys Hermosillo 2,Hermosillo,Downtown,2014-06-01T00:00:00Z
683031,2018-06-21T00:00:00Z,5,18,1,Lego Bricks,Toys,34.99,39.99,Maven Toys La Paz 1,La Paz,Downtown,2001-05-31T00:00:00Z
448387,2018-01-21T00:00:00Z,34,18,1,Lego Bricks,Toys,34.99,39.99,Maven Toys Villahermosa 1,Villahermosa,Downtown,2013-06-07T00:00:00Z
56649,2017-02-27T00:00:00Z,44,18,1,Lego Bricks,Toys,34.99,39.99,Maven Toys Puebla 3,Puebla,Residential,2014-12-27T00:00:00Z
670270,2018-06-14T00:00:00Z,23,18,1,Lego Bricks,Toys,34.99,39.99,Maven Toys Chihuahua 1,Chihuahua,Commercial,2010-06-12T00:00:00Z
190986,2017-06-25T00:00:00Z,29,18,1,Lego Bricks,Toys,34.99,39.99,Maven Toys Xalapa 1,Xalapa,Commercial,2011-06-21T00:00:00Z
125266,2017-04-30T00:00:00Z,49,18,3,Lego Bricks,Toys,34.99,39.99,Maven Toys Culiacan 1,Culiacan,Downtown,2016-05-10T00:00:00Z
