puntos,precio,provincia,region_1,region_2,critico,variedad
92,750,California,Paso Robles,Central Coast,Matt Kettmann,Syrah
94,625,California,Napa Valley,Napa,Virginie Boone,Cabernet Sauvignon
93,500,California,Rutherford,Napa,Virginie Boone,Cabernet Sauvignon
90,350,California,Napa Valley,Napa,Virginie Boone,Bordeaux-style Red Blend
95,325,California,Napa Valley,Napa,Virginie Boone,Cabernet Sauvignon
95,325,California,Diamond Mountain District,Napa,Virginie Boone,Cabernet Sauvignon
96,325,California,Napa Valley,Napa,Virginie Boone,Cabernet Sauvignon
99,300,California,Napa Valley,Napa,Virginie Boone,Bordeaux-style Red Blend
93,275,Oregon,Willamette Valley,Willamette Valley,Paul Gregutt,Pinot Noir
98,265,California,Stags Leap District,Napa,Virginie Boone,Cabernet Sauvignon
92,260,California,Napa Valley,Napa,Virginie Boone,Cabernet Sauvignon
95,260,California,Napa Valley,Napa,Virginie Boone,Cabernet Sauvignon
94,250,California,St. Helena,Napa,Virginie Boone,Cabernet Sauvignon
98,250,California,Green Valley,Sonoma,Virginie Boone,Sparkling Blend
98,250,California,Napa Valley,Napa,Virginie Boone,Bordeaux-style Red Blend
94,250,California,Oak Knoll District,Napa,Virginie Boone,Cabernet Sauvignon
96,250,California,Napa Valley,Napa,Virginie Boone,Bordeaux-style Red Blend
95,250,California,Stags Leap District,Napa,Virginie Boone,Cabernet Sauvignon
99,250,California,Atlas Peak,Napa,Virginie Boone,Cabernet Sauvignon
98,250,California,St. Helena,Napa,Virginie Boone,Cabernet Sauvignon
98,250,California,Oakville,Napa,Virginie Boone,Cabernet Sauvignon
98,250,California,St. Helena,Napa,Virginie Boone,Cabernet Sauvignon
97,250,California,Oakville,Napa,Virginie Boone,Cabernet Sauvignon
97,250,California,Rutherford,Napa,Virginie Boone,Cabernet Sauvignon
92,245,California,Napa Valley,Napa,Virginie Boone,Cabernet Sauvignon
95,240,California,Napa Valley,Napa,Virginie Boone,Bordeaux-style Red Blend
95,240,Washington,Columbia Valley (WA),Columbia Valley,Paul Gregutt,Syrah
93,225,California,Oakville,Napa,Virginie Boone,Bordeaux-style Red Blend
93,225,California,Rutherford,Napa,Virginie Boone,Cabernet Sauvignon
92,225,California,Napa Valley,Napa,Virginie Boone,Cabernet Sauvignon
93,225,California,Napa Valley,Napa,Virginie Boone,Cabernet Sauvignon
91,225,California,Rutherford,Napa,Virginie Boone,Cabernet Sauvignon
92,225,California,Napa Valley,Napa,Virginie Boone,Cabernet Sauvignon
92,225,California,Napa Valley,Napa,Virginie Boone,Cabernet Sauvignon
90,225,California,Napa Valley,Napa,Virginie Boone,Cabernet Sauvignon
91,225,California,Napa Valley,Napa,Virginie Boone,Cabernet Sauvignon
